serial_fssai,ins_no,e_number,name_english,name_hindi,functional_class,harm_level_1to4,harm_severity,color_code,harm_reason,revant_concern,fssai_permitted,source
1,100,E100,Curcumins,,Colour,1,LOW,GREEN,Curcumins/Turmeric - natural plant pigment; antioxidant; completely safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
2,100(i),E100(i),Curcumin,,Colour,1,LOW,GREEN,Curcumin - natural from turmeric; anti-inflammatory; safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
3,100(ii),E100(ii),Turmeric,,Colour,1,LOW,GREEN,Turmeric - Indian spice; safe and beneficial,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
4,101,E101,Riboflavins,,Colour,1,LOW,GREEN,Riboflavins - Vitamin B2; safe and beneficial,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
5,101(i),E101(i),Riboflavin,,Colour,1,LOW,GREEN,Riboflavin - Vitamin B2; safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
6,101(ii),E101(ii),"Riboflavin 5’-phosphate, sodium",,Colour,1,LOW,GREEN,Riboflavin 5-phosphate - active form of Vitamin B2; safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
7,102,E102,Tartrazine,टार्ट्राज़ीन,Colour,4,HIGH,RED,Tartrazine - azo dye; hyperactivity in children; EFSA mandates warning label in EU; common in Indian snacks,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
8,103,E103,Alkanet,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
9,104,E104,Quinoline yellow,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
10,107,E107,Yellow 2G,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
11,110,E110,Sunset yellow FCF,सनसेट यलो,Colour,4,HIGH,RED,Sunset Yellow - azo dye; hyperactivity risk; allergic reactions; common in Indian cold drinks,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
12,120,E120,Carmines,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
13,121,E121,Citrus red 2,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
14,122,E122,Azorubine / Carmoisine,कार्मोइसिन,Colour,4,HIGH,RED,Carmoisine/Azorubine - azo dye; hyperactivity and allergy risk,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
15,123,E123,Amaranth,,Colour,4,HIGH,RED,Amaranth dye - banned in USA; potential carcinogen in animal studies,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
16,124,E124,Ponceau 4R,,Colour,4,HIGH,RED,Ponceau 4R - azo dye; hyperactivity risk; banned in USA and Norway,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
17,125,E125,Ponceau SX,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
18,127,E127,Erythrosine,,Colour,4,HIGH,RED,Erythrosine - red dye; contains iodine; may affect thyroid function; banned in Norway,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
19,128,E128,Red 2G,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
20,129,E129,Allurared AC/Fast Red E,,Colour,4,HIGH,RED,Allura Red - azo dye; hyperactivity in children; EU warning label required,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
21,130,E130,Manascorubin,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
22,131,E131,Patent blue V,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
23,132,E132,Indigotine,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
24,133,E133,Brilliant blue FCF,,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
25,140,E140,Chlorophyll,,Colour,1,LOW,GREEN,Chlorophyll - natural green pigment from plants; safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
26,141,E141,Copper chlorophylls,,Colour,1,LOW,GREEN,Copper chlorophylls - plant-derived; safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
27,141(i),E141(i),"Chlorophyll copper complex,",,Colour,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
